artist,artist_href,life,num_artworks
Ivan Bilibin,/en/ivan-bilibin,1876 - 1942,246
Max Bill,/en/max-bill,1908 - 1994,75
Kateryna Bilokur,/en/kateryna-bilokur,1900 - 1961,54
Joseph Binder,/en/joseph-binder,1805 - 1863,6
George Caleb Bingham,/en/george-caleb-bingham,1811 - 1879,49
Elmer Bischoff,/en/elmer-bischoff,1916 - 1991,30
Cesare Biseo,/en/cesare-biseo,1843 - 1909,27
James Bishop,/en/james-bishop,born 1927,10
Julius Bissier,/en/julius-bissier,1893 - 1965,30
Roger Bissière,/en/roger-bissi-re,1886 - 1964,41
Albert Bitran,/en/albert-bitran,born 1931,16
Ion Bitzan,/en/ion-bitzan,1924 - 1997,33
Eugene de Blaas,/en/eugene-de-blaas,1843 - 1932,89
Dorrit Black,/en/dorrit-black,1891 - 1951,60
Charles Blackman,/en/charles-blackman,born 1928,206
Ronald Bladen,/en/ronald-bladen,1918 - 1988,15
Joan Blaeu,/en/joan-blaeu,1596 - 1673,10
Mary Blair,/en/mary-blair,1911 - 1978,10
Peter Blake,/en/peter-blake,born 1932,34
William Blake,/en/william-blake,1757 - 1827,111
Ralph Blakelock,/en/ralph-blakelock,1847 - 1919,64
Antoine Blanchard,/en/antoine-blanchard,1910 - 1988,178
Maria Blanchard,/en/maria-blanchard,1881 - 1932,79
Jacques-Émile Blanche,/en/jacques-emile-blanche,1861 - 1942,17
Irma Blank,/en/irma-blank,born 1934,15
Michel Blazy,/en/michel-blazy,born 1966,15
Constantin Blendea,/en/constantin-blendea,1929 - 2012,30
Albert Bloch,/en/albert-bloch,1882 - 1961,68
Carl Bloch,/en/carl-bloch,1834 - 1890,81
Karl Blossfeldt,/en/karl-blossfeldt,1866 - 1932,119
Godfrey Blow,/en/godfrey-blow,born 1948,15
Norman Bluhm,/en/norman-bluhm,1921 - 1999,32
Rochelle Blumenfeld,/en/rochelle-blumenfeld,born 1936,26
Anna Katarina Boberg,/en/anna-katarina-boberg,1864 - 1935,8
Umberto Boccioni,/en/umberto-boccioni,1882 - 1916,98
Mel Bochner,/en/mel-bochner,born 1940,19
Arnold Böcklin,/en/arnold-bocklin,1827 - 1901,123
Karl Bodmer,/en/karl-bodmer,1809 - 1893,104
Thiago Boecan,/en/thiago-boecan,born 1995,34
Alighiero Boetti,/en/alighiero-boetti,1940 - 1994,52
Konstantin Bogaevsky,/en/konstantin-bogaevsky,1872 - 1943,133
Bram Bogart,/en/bram-bogart,1921 - 2012,25
Nikolay Bogdanov-Belsky,/en/nikolay-bogdanov-belsky,1868 - 1945,203
Alexander Bogen,/en/alexander-bogen,1916 - 2010,84
Alexander Boghossian,/en/alexander-boghossian,1937 - 2003,10
